#PMW Filter Profile
# wavelength [um]   transmission 
#----------------- --------------
207.9669944942000  1.5073659e-06
207.7492512762550  1.6232341e-06
207.5319364666940  1.4775264e-06
207.3150686919690  1.0984902e-06
207.0986665785310  1.1767947e-06
206.8827114999290  1.9533898e-06
206.6672034561630  2.0022749e-06
206.4521610736850  1.5232022e-06
206.2375470995900  1.6222426e-06
206.0233987867830  1.4050523e-06
205.8096788823600  1.8141563e-06
205.5964060127740  2.2560941e-06
205.3835615515710  1.3278734e-06
205.1711641252040  6.4892123e-07
204.9592323601250  2.5127606e-06
204.7477103769780  4.0361474e-06
204.5366354286670  2.5827840e-06
204.3259888887410  2.5517795e-06
204.1157707571980  2.9905977e-06
203.9059810340400  1.7206222e-06
203.6966569721700  1.8402675e-06
203.4877240657810  3.0263116e-06
203.2792381942270  2.7330088e-06
203.0711621046070  2.2695717e-06
202.8635330498220  2.6303837e-06
202.6563137769700  1.2603671e-06
202.4495229125020  2.3725279e-06
202.2431604564190  4.6627201e-06
202.0372077822690  3.9362480e-06
201.8316648900510  2.5243203e-06
201.6265504062180  2.2986248e-06
201.4218643307690  1.6003726e-06
201.2175694108010  1.2197139e-06
201.0137215256690  2.0719619e-06
200.8102647960190  3.1676950e-06
200.6072178483010  3.1516699e-06
200.4045806825160  1.8597575e-06
200.2023532986640  3.2920835e-07
200.0005356967450  3.5754274e-06
199.7991278767590  2.2486596e-05
199.5981298387050  1.8699322e-05
