Name,agn_frac,agn_name,agn_norm,chi2,host_name,host_norm,lir_total
MCG+11-11-032,0.367131361,Mean,-2.372907749,26.27471133,SB1,-2.555527607,10.1981787
NGC4235,0.296774432,Mean,-2.045329876,26.60663488,SB1,-2.089773655,9.208901641
MCG-07-03-007,0.688616135,Mean,-1.696534567,26.85829465,SB1,-2.460327604,10.42952663
ESO509-G038,0.599527877,Mean,-1.672028833,27.28090638,SB1,-2.266377874,10.38977221
UGC12237,0.141288834,Mean,-2.278525426,29.57492231,SB1,-1.913898106,10.48623248
NGC3035,7.13E-11,Mean,-11.37187881,30.08107542,SB1,-1.643810111,10.10256826
NGC4507,0.385508998,Mean,-0.917789579,30.21406062,SB5,-1.744922878,10.64137031
MCG-02-08-038,0.538904522,Mean,-2.09575329,30.24369256,SB1,-2.582586204,10.21377692
ESO195-IG021NED03,0.373473184,Mean,-1.990623346,30.28745642,SB1,-2.185055055,10.82889086
NGC2655,0.168939661,Mean,-1.649132426,30.32072758,SB1,-1.376343435,9.606326763
NGC526A,0.767260083,Mean,-1.689200028,32.09890551,SB1,-2.626383705,9.993944829
NGC1106,0.465223383,Mean,-1.430594978,32.54924014,SB1,-1.789196052,10.2256173
ESO565-G019,0.065735498,Mean,-2.100463301,32.76360738,SB2,-1.628244136,10.50962538
IC0486,4.41E-12,Mean,-12.52923722,32.89517814,SB3,-2.021264295,10.69621104
IISZ010,0.811364289,Mean,-2.019117588,33.54953426,SB1,-3.071821512,10.157394
ESO549-G049,3.62E-17,Mean,-17.19551881,34.51076724,SB2,-1.434192393,11.09671289
NGC5674,0.0940621,Mean,-2.014227171,34.88356137,SB1,-1.449655361,10.81579635
NGC5995,0.278957581,Mean,-1.139432138,35.05684229,SB5,-1.756623798,11.22775335
MCG-03-04-072,0.577980383,Mean,-2.092912748,35.15122071,SB1,-2.648605156,10.49411122
MCG+00-09-042,2.00E-16,Mean,-16.53009268,35.65413772,SB2,-1.512574748,10.92880439
Mrk885,0.143680636,Mean,-2.470353215,35.66714484,SB1,-2.114227639,10.18966665
NGC7603,0.538878906,Mean,-1.199760958,35.90677729,SB1,-1.6865491,11.02202722
NGC6221,0.075582065,Mean,-0.615405371,36.75962226,SB5,-0.557570068,10.62246197
NGC7679,0.018790945,Mean,-2.197422744,37.37420481,SB2,-1.16006055,11.00147354
NGC4102,7.94E-12,Mean,-10.77494081,37.69562645,SB2,-0.355179211,10.52130063
CGCG102-048,0.345690755,Mean,-2.698198007,37.70796923,SB1,-2.840214664,9.639271568
ARK241,0.686203873,Mean,-2.163984351,38.39551333,SB1,-2.922901885,10.24200582
