Name,agn_frac,agn_frac_mir,alpha,chi2,lir_total,norm
NGC4151,0.5572,0.85,2.0,9.37706412841,9.89238254561,3.18334421597
NGC4180,0.0,0.0,2.0,19.5390807596,10.1621136035,0.418014558861
NGC4235,0.3101,0.6,2.75,3.47168843389,9.41848316635,0.304914669872
NGC424,0.8227,0.95,2.125,7.31578341389,10.925447192,2.31403733804
NGC4388,0.1467,0.45,1.9375,16.1902742445,10.1174784289,1.46249066979
NGC4507,0.4567,0.8,1.9375,8.95810007055,10.8823598379,1.23602574537
NGC4619,0.0298,0.1,2.375,1.58135656671,10.7110802154,0.324294056569
NGC4748,0.129,0.4,2.0,13.9741047247,10.3410128149,0.196911687446
NGC4939,0.1207,0.3,3.9375,77.9329333794,10.4209985141,2.08323794889
NGC4941,0.2813,0.55,3.9375,67.3991394904,9.27068883742,1.65005403302
NGC4992,0.5594,0.8,3.625,5.52692714751,10.5025151623,0.475143979147
NGC5033,0.0,0.0,2.6875,20.5875400198,10.4048025975,6.41111800902
NGC5106,0.0,0.0,1.9375,38.6169312003,11.1807485897,0.183470933194
NGC513,0.0,0.0,1.875,30.259369416,10.7222814095,0.141993480086
NGC5231,0.0596,0.2,2.1875,14.8208447215,10.3811343685,0.131603548073
NGC5252,0.5898,0.85,2.1875,2.71340267075,10.5576671382,0.261606957044
NGC526A,0.8466,0.95,2.5625,2.56692578842,10.542802221,0.605995774144
NGC5273,0.1318,0.45,1.8125,2.05210982313,8.81279398855,0.0509240277295
NGC5290,0.0327,0.1,2.875,1.80568067269,9.98084634852,1.02757471099
NGC5506,0.4804,0.85,1.6875,5.891952064,10.420069164,1.18510138449
NGC5548,0.4705,0.8,2.0,4.92841879633,10.6765012422,0.417847311852
NGC5610,0.0,0.0,1.875,4.22391442618,10.8715093543,0.269219937659
NGC5674,0.0283,0.1,2.25,1.05515660537,10.8752463807,0.33313099718
NGC5728,0.0,0.0,2.0,3.1176254892,10.2165607842,0.764462760794
NGC5899,0.0304,0.1,2.4375,5.88968892526,10.58017093,1.39678782632
NGC5995,0.2687,0.65,1.875,6.80210597787,11.3722109013,0.601855318547
NGC6221,0.0228,0.1,1.9375,3.41131473153,10.6210148813,4.31620536359
NGC6240,0.0,0.0,1.5,25.2138618076,11.8567180061,0.265417633158
NGC6300,0.1318,0.35,2.4375,8.13915103701,10.1799262714,6.82724015591
NGC6552,0.1783,0.6,1.5625,18.9934599564,11.0975524652,0.0885664035021
NGC6814,0.0316,0.1,2.625,7.2724373246,10.166573332,2.57427324982
NGC6860,0.3798,0.7,2.25,2.81769587437,10.6304076832,0.742252017351
NGC7172,0.0,0.0,2.0625,7.99663065608,10.3741565811,0.694139027801
NGC7213,0.262,0.55,2.5625,8.06340994065,9.63095236875,1.97208795651
NGC7465,0.0,0.0,1.875,4.08317465698,9.88067566287,0.210189260129
NGC7469,0.028,0.15,1.6875,3.38659925249,11.6135288167,0.870259784435
NGC7479,0.0981,0.3,2.1875,20.533299577,10.7419067056,2.87577890774
NGC7582,0.0,0.0,1.75,12.9209682954,10.7933722962,2.18929293969
NGC7603,0.4229,0.75,2.125,10.2191792079,11.2319645697,0.618336641156
NGC7679,0.0,0.0,1.6875,32.8998792809,11.0663454835,0.201849974648
NGC788,0.6666,0.9,2.0,76.0277302717,10.3079295764,0.314628085935
NGC931,0.4623,0.75,2.5,10.8736375591,11.0698353021,2.27393038953
NGC985,0.3999,0.75,2.0,8.39315518712,11.4939237654,0.400674777072
PICTORA,0.6447,0.85,3.9375,509.574265326,10.7975893746,0.516056065283
PKS2331-240,0.3729,0.65,3.9375,395.544200756,10.7933867075,0.249819945109
SBS1301+540,0.5616,0.8,3.9375,2.01389691478,9.96224561117,0.102274129728
UGC01479,0.0,0.0,2.0,12.7033186513,10.3962319224,0.139964092854
UGC03142,0.1348,0.4,2.0625,22.2365648282,10.6480700079,0.210264638929
UGC03478,0.1582,0.4,2.4375,6.43432421184,10.349791781,0.581304135565
UGC03601,0.2299,0.55,2.125,5.84410916201,9.99326481824,0.0942862398555
UGC03995A,0.3121,0.65,2.125,0.102383464336,10.5071091112,0.386346739234
UGC05881,0.0097,0.05,1.8125,2.30148493389,10.5970667536,0.0792425723636
UGC07064,0.129,0.4,2.0,16.0369084531,10.8962806072,0.238492530607
UGC08327NED02,0.282,0.75,1.4375,0.786398047898,11.2293331826,0.0445330893057
UGC10593,0.1894,0.5,2.0625,5.94572573564,10.5825467691,0.105174481521
UGC11185NED02,0.104,0.4,1.75,3.65252032375,10.7018437988,0.0249109898857
UGC12237,0.0396,0.15,2.0625,27.7787770783,10.5216215396,0.079073217009
UGC12282,0.0692,0.2,2.6875,7.32522485444,10.4926990038,0.532706394283
UGC12741,0.0,0.0,2.1875,11.5972182084,9.94851624114,0.0692108079076
VIIZw073,0.1009,0.45,1.5,12.6309339077,11.3455137953,0.040873778831
WKK1263,0.3431,0.75,1.75,16.0301298656,10.6500286646,0.0907588913537
WKK4438,0.3719,0.7,2.1875,6.36721826616,10.4426631768,0.376675404873
WKK6471,0.3729,0.65,3.9375,8.06279551887,10.4087755922,0.199299927254
