# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W4     RSR     uncertainty (parts per thousand)
 24.14  0.54888E+00    34
 24.15  0.54911E+00    35
 24.16  0.55310E+00    37
 24.17  0.55709E+00    38
 24.18  0.56109E+00    40
 24.19  0.56509E+00    42
 24.20  0.56909E+00    43
 24.21  0.56932E+00    44
 24.22  0.56956E+00    45
 24.23  0.56979E+00    45
 24.24  0.56625E+00    44
 24.25  0.56649E+00    43
 24.26  0.56294E+00    42
 24.27  0.55940E+00    40
 24.28  0.55585E+00    39
 24.29  0.55607E+00    38
 24.30  0.55252E+00    37
 24.31  0.55275E+00    36
 24.32  0.55676E+00    36
 24.33  0.56078E+00    36
 24.34  0.56101E+00    36
 24.35  0.56503E+00    37
 24.36  0.56526E+00    37
 24.37  0.56929E+00    37
 24.38  0.56953E+00    38
 24.39  0.56976E+00    38
 24.40  0.56999E+00    38
 24.41  0.56642E+00    38
 24.42  0.56666E+00    39
 24.43  0.56308E+00    39
 24.44  0.56331E+00    39
 24.45  0.56354E+00    39
 24.46  0.55997E+00    39
 24.47  0.56019E+00    39
 24.48  0.56042E+00    40
 24.49  0.55684E+00    41
 24.50  0.55707E+00    42
 24.51  0.55348E+00    43
 24.52  0.54988E+00    44
 24.53  0.54285E+00    46
 24.54  0.53925E+00    47
 24.55  0.53182E+00    47
 24.56  0.52439E+00    47
 24.57  0.51695E+00    46
 24.58  0.50950E+00    45
 24.59  0.50205E+00    43
 24.60  0.49459E+00    42
 24.61  0.49096E+00    40
 24.62  0.48733E+00    39
 24.63  0.48369E+00    38
 24.64  0.48389E+00    38
 24.65  0.48408E+00    38
 24.66  0.48044E+00    38
 24.67  0.48063E+00    39
 24.68  0.48083E+00    39
 24.69  0.47718E+00    40
 24.70  0.47352E+00    41
 24.71  0.47372E+00    41
 24.72  0.47006E+00    42
 24.73  0.46255E+00    43
 24.74  0.45888E+00    43
 24.75  0.45521E+00    43
 24.76  0.45154E+00    44
 24.77  0.45172E+00    43
 24.78  0.44804E+00    43
 24.79  0.44823E+00    43
 24.80  0.44841E+00    42
 24.81  0.44859E+00    42
 24.82  0.44877E+00    41
 24.83  0.44508E+00    41
 24.84  0.44526E+00    41
 24.85  0.44157E+00    41
 24.86  0.43788E+00    41
 24.87  0.43418E+00    41
 24.88  0.42660E+00    42
 24.89  0.42290E+00    42
 24.90  0.41919E+00    42
 24.91  0.41548E+00    41
 24.92  0.41177E+00    41
 24.93  0.40805E+00    41
 24.94  0.40821E+00    42
 24.95  0.40449E+00    43
 24.96  0.40077E+00    44
 24.97  0.40093E+00    45
 24.98  0.39720E+00    47
 24.99  0.39346E+00    48
 25.00  0.38934E+00    49
 25.01  0.38529E+00    50
 25.02  0.37921E+00    50
 25.03  0.37277E+00    50
 25.04  0.36629E+00    50
 25.05  0.35945E+00    51
 25.06  0.35261E+00    51
 25.07  0.34572E+00    51
 25.08  0.34004E+00    52
 25.09  0.33514E+00    54
 25.10  0.33023E+00    55
 25.11  0.32645E+00    55
 25.12  0.32345E+00    55
 25.13  0.32045E+00    55
 25.14  0.31780E+00    54
 25.15  0.31553E+00    52
 25.16  0.31327E+00    51
 25.17  0.31100E+00    50
